feedback_id,customer_id,order_id,branch_id,rating,feedback_category,feedback_date,comment_length_words
1,4600,30798,10,2,Cleanliness,2024-03-01,31
2,3634,13390,20,4,Service,2024-05-16,31
3,580,2432,16,4,Service,2024-12-02,12
4,1188,2950,20,2,Cleanliness,2024-01-09,30
5,5815,24581,22,4,Ambience,2024-02-18,25
6,5159,5524,20,2,Delivery Time,2024-12-21,38
7,4625,18463,12,4,Value for Money,2023-07-02,37
8,5719,6696,9,4,Ambience,2023-02-03,22
9,902,11356,19,4,Value for Money,2023-08-22,8
10,5571,26252,17,4,Value for Money,2024-01-11,34
11,3786,20129,22,5,Cleanliness,2024-05-06,0
12,1689,2549,13,3,Value for Money,2023-09-20,6
13,99999,999999,999,6,Food Quality,2023-04-13,27
14,2209,30730,23,3,Value for Money,2024-06-10,32
15,526,28078,11,5,Service,2023-08-05,4
16,5009,4333,26,5,Food Quality,2023-03-09,27
17,299,28740,17,4,Value for Money,2023-07-06,14
18,6094,2189,26,4,Ambience,2023-07-17,22
19,5670,31253,10,4,Cleanliness,2023-11-14,28
20,6457,3088,7,5,Cleanliness,2023-07-02,
21,5142,9717,23,4,Service,2023-08-21,23
22,756,15393,12,3,Value for Money,2024-03-03,9
23,1850,4860,20,5,Value for Money,2024-08-27,33
24,4463,5159,1,5,Service,2024-06-22,16
25,6635,15522,27,4,Value for Money,2023-06-26,37
26,3810,19754,22,4,Delivery Time,2023-11-27,20
27,3246,16333,25,4,Service,2024-07-12,21
28,5580,13955,10,5,Ambience,2024-08-17,2
29,99999,999999,999,10,Food Quality,2023-01-02,18
30,6777,31227,18,4,Food Quality,2024-04-29,32
31,93,10895,22,2,Value for Money,2024-02-13,16
32,2219,25761,17,3,Cleanliness,2023-08-27,21
33,4808,18284,5,2,Ambience,2024-05-30,35
34,6190,17649,21,3,Value for Money,2023-11-19,7
35,5321,23644,4,5,Cleanliness,2024-05-27,23
36,4497,14197,20,1,Value for Money,2024-08-08,27
37,3365,10640,4,3,Cleanliness,2023-01-15,29
38,5982,735,5,3,Delivery Time,2024-03-27,24
39,6988,22060,1,1,Ambience,2024-03-30,9
40,99999,999999,999,8,Delivery Time,2024-08-31,1
41,6274,20483,21,4,Food Quality,2024-12-24,38
42,3227,2482,8,8,Cleanliness,2023-07-07,
