consumption_id,ingredient_id,branch_id,date,quantity_used,wastage_quantity,stock_available
1,99,23,2023-12-31,61.84,1.39,83.69
2,51,20,2023-07-28,37.94,2.48,256.8
3,94,12,2024-01-13,21.67,0.42,52.22
4,157,18,2024-12-23,32.27,0.68,275.19
5,144,9,2023-06-23,12.72,0.55,246.56
6,146,6,2023-11-08,29.08,2.78,187.78
7,51,20,2023-05-30,65.63,6.19,228.02
8,112,16,2024-06-19,33.88,1.97,118.83
9,29,26,2024-04-21,46.24,4.34,328.0
10,57,10,2023-04-16,36.24,3.06,136.72
11,141,7,2024-03-06,38.37,3.46,188.22
12,125,25,2023-06-29,83.79,3.27,372.47
13,11,17,2023-07-15,3.43,0.1,74.55
14,12,23,2024-02-09,98.15,3.28,492.26
15,70,13,2023-07-01,81.33,2.28,323.66
16,97,24,2024-08-15,89.55,3.73,225.62
17,106,24,2023-10-17,33.71,1.89,359.31
18,65,2,2024-10-28,35.64,1.38,416.73
19,125,17,2024-02-21,28.03,1.62,127.43
20,9999,888,2023-10-18,-62.51,0.4,-452.38
21,21,12,2023-09-18,22.28,0.24,338.32
22,28,9,2024-08-31,70.63,2.27,483.35
23,66,2,2023-12-01,70.63,5.46,97.47
24,34,14,2024-03-21,4.43,0.23,359.9
25,62,9,2023-09-30,51.86,3.46,476.53
26,59,18,2023-04-06,59.74,0.91,249.91
27,109,25,2024-09-11,24.08,1.21,168.91
28,16,9,2024-10-15,60.43,1.31,116.98
29,146,19,2024-10-29,0.84,0.08,489.66
30,148,22,2023-10-18,-32.99,3.24,-246.32
31,21,18,2024-08-26,43.13,0.36,109.39
32,59,18,2023-09-14,65.25,1.02,118.99
33,95,10,2023-03-05,54.77,0.19,10.73
34,41,13,2023-08-08,94.23,8.88,466.48
35,135,23,2023-07-06,98.49,1.69,94.18
36,10,12,2024-10-24,97.08,2.41,464.91
37,83,17,2023-03-09,28.64,2.46,244.53
38,123,11,2024-02-14,39.74,3.81,112.29
39,108,5,2024-08-06,63.69,5.76,385.19
40,107,4,2023-12-11,44.16,3.19,491.96
41,83,14,2024-11-05,74.59,4.0,173.69
42,44,21,2023-02-20,88.31,7.97,488.05
43,137,12,2023-12-28,18.65,0.32,455.56
44,2,2,2023-09-03,24.72,1.6,132.12
45,73,4,2023-01-12,97.95,4.97,20.74
46,8,21,2024-12-05,40.66,1.59,11.56
47,95,9,2023-07-18,17.32,0.49,282.71
48,129,1,2023-09-23,44.71,4.38,429.76
49,69,15,2024-08-22,47.45,3.6,134.07
50,7,3,2024-03-21,17.42,1.38,58.75
51,94,28,2023-09-07,5.89,0.18,492.76
52,50,20,2024-08-31,0.93,0.08,70.44
53,159,3,2024-06-27,36.04,2.73,27.29
54,150,8,2023-05-22,25.86,2.27,218.87
55,126,8,2024-01-29,30.35,2.66,34.68
56,86,20,2023-07-22,-71.14,4.19,-282.32
57,124,20,2024-02-06,66.48,5.66,103.14
58,20,4,2023-08-30,81.06,7.49,198.8
59,78,24,2024-12-07,65.33,4.62,126.02
60,159,22,2024-04-24,41.73,0.81,25.1
61,81,6,2024-06-04,56.14,0.36,14.8
62,17,19,2023-04-11,39.94,3.97,187.3
63,115,14,2023-08-24,71.39,1.83,413.86
64,71,6,2024-12-13,64.57,6.11,423.2
65,35,16,2024-09-17,98.02,1.73,409.73
66,107,28,2024-03-09,54.44,4.26,396.79
67,47,2,2023-07-17,97.5,9.02,157.46
68,144,4,2023-09-18,17.46,0.57,120.85
69,37,23,2024-07-10,94.92,6.6,6.27
70,69,1,2023-10-20,82.82,7.8,172.51
