order_item_id,order_id,menu_item_id,quantity,unit_price_inr,discount_amount_inr,line_total_inr
1,8795,63,3,266.76,173.71,626.57
2,9366,150,5,157.13,46.32,739.33
3,13983,28,2,693.52,13.8,1373.24
4,26726,163,4,652.92,547.99,2063.69
5,15079,102,6,859.69,1200.65,3957.49
6,38,191,5,333.61,403.57,1264.48
7,7524,29,2,557.79,89.56,1026.02
8,12023,90,6,516.93,131.04,2970.54
9,21596,123,3,540.19,314.76,1305.81
10,28428,120,2,74.44,9.29,139.59
11,31672,12,3,302.58,31.11,876.63
12,24495,143,1,466.24,115.48,350.76
13,30719,158,4,940.64,382.14,3380.42
14,30256,192,3,103.07,22.93,286.28
15,12560,68,6,854.04,127.27,4996.97
16,27882,205,6,568.28,342.64,3067.04
17,28962,151,5,245.57,299.84,928.01
18,21881,232,4,202.97,61.5,750.38
19,22858,211,1,196.09,18.67,177.42
20,28708,176,6,81.61,106.94,382.72
21,1814,190,5,909.47,919.33,3628.02
22,19286,54,3,242.82,119.01,609.45
23,27252,170,5,675.2,474.91,2901.09
24,11790,137,4,388.23,375.77,1177.15
25,3473,70,4,737.18,577.25,2371.47
26,21693,192,4,385.0,328.81,1211.19
27,28733,78,5,838.81,303.73,3890.32
28,19235,32,2,924.19,135.0,1713.38
29,30369,220,2,164.54,70.35,258.73
30,2200,135,5,892.28,660.83,3800.57
31,7044,124,1,495.49,22.54,472.95
32,23220,120,4,369.63,142.3,1336.22
33,22053,44,3,332.13,247.02,749.37
34,15856,239,5,411.71,69.3,1989.25
35,29165,165,6,141.6,99.11,750.49
36,13370,96,6,127.08,88.84,673.64
37,19475,134,3,534.04,257.75,1344.37
38,10094,146,3,106.92,21.9,298.86
39,18627,174,5,936.57,185.81,4497.04
40,7061,50,2,282.06,73.17,490.95
41,13495,227,2,149.37,20.02,278.72
42,6178,209,2,933.9,162.2,1705.6
43,544,50,4,217.05,172.01,696.19
44,3375,57,1,541.57,131.7,409.87
45,7583,85,4,624.62,280.22,2218.26
46,918,92,4,291.64,232.83,933.73
47,2713,9,2,548.36,62.77,1033.95
48,10300,186,4,179.85,164.82,554.58
49,25054,12,4,705.73,116.13,2706.79
50,17730,151,6,787.66,571.33,4154.63
51,26771,65,4,425.34,72.12,1629.24
52,1156,18,4,78.73,77.25,237.67
53,18586,125,1,223.79,32.73,191.06
54,8688,141,5,359.12,36.41,1759.19
55,2555,70,3,454.44,198.73,1164.59
56,23822,113,4,215.7,66.51,796.29
57,6293,16,3,500.7,263.71,1238.39
58,7026,54,6,362.35,13.25,2160.85
59,13932,73,4,112.86,90.45,360.99
60,22469,39,2,556.69,163.18,950.2
61,28350,91,2,820.9,60.87,1580.93
62,8906,101,2,211.54,68.0,355.08
63,29762,238,1,81.6,14.09,67.51
64,3636,71,6,639.53,503.39,3333.79
65,16339,138,1,370.91,75.95,294.96
66,19849,97,4,611.12,518.07,1926.41
67,29585,50,3,340.05,104.09,916.06
68,2034,220,2,64.38,28.13,100.63
69,5740,131,3,404.0,22.87,1189.13
70,13279,61,3,625.26,378.32,1497.46
71,4574,30,3,503.62,75.12,1435.74
72,13920,128,6,594.6,723.56,2844.04
73,13715,72,4,250.22,182.26,818.62
74,942,60,2,156.53,30.37,282.69
75,3526,18,1,547.6,129.94,417.66
76,4946,122,2,354.57,84.42,624.72
77,25558,117,2,845.39,33.67,1657.11
78,4928,113,2,838.3,392.52,1284.08
79,137,18,3,164.45,74.78,418.57
80,16674,212,5,347.35,183.13,1553.62
81,18779,193,1,350.68,3.05,347.63
82,26908,147,5,252.81,67.2,1196.85
83,16876,170,6,764.1,1049.32,3535.28
84,12367,115,4,174.11,86.83,609.61
85,5575,210,5,502.19,57.94,2453.01
86,20995,110,3,504.85,192.03,1322.52
87,14359,232,2,363.67,33.44,693.9
88,6062,202,4,562.89,555.8,1695.76
89,20964,200,3,712.91,468.66,1670.07
90,26129,184,-1,900.35,5.08,3277.25
91,8166,234,6,81.12,2.85,483.87
92,24289,170,1,807.2,186.3,620.9
93,7566,116,1,144.36,30.08,114.28
94,14591,32,4,522.76,295.82,1795.22
95,10500,209,2,693.37,231.21,1155.53
96,637,142,4,288.39,220.57,932.99
97,8593,90,6,216.58,28.6,1270.88
98,16185,194,3,854.31,640.51,1922.42
99,19725,199,1,535.54,99.33,436.21
100,29838,73,4,145.92,75.75,507.93
101,609,17,3,127.76,60.91,322.37
102,24829,87,6,79.91,108.81,370.65
103,999999,99999,-5,365.08,19.99,6033.6
104,10241,74,3,533.2,300.0,1299.6
105,21889,113,1,176.53,32.13,144.4
106,17428,186,1,883.81,104.14,779.67
107,21696,24,2,823.36,292.97,1353.75
108,5209,239,3,398.04,94.78,1099.34
109,2633,229,5,540.19,498.56,2202.39
110,1317,7,4,593.4,478.52,1895.08
111,26716,226,5,437.56,99.28,2088.52
112,1741,99,3,833.51,142.62,2357.91
113,21440,46,2,855.32,16.45,1694.19
114,5622,133,4,623.78,596.26,1898.86
115,13232,173,6,715.55,96.23,4197.07
116,11511,53,3,793.21,445.89,1933.74
117,13483,85,4,408.53,281.12,1353.0
118,19440,169,1,670.15,24.84,645.31
119,29490,77,2,850.62,329.93,1371.31
120,12163,55,1,628.18,82.73,545.45
121,3244,211,1,792.12,111.17,680.95
122,6763,31,1,681.1,25.83,655.27
123,6552,68,3,874.01,519.93,2102.1
124,974,40,4,449.83,98.52,1700.8
125,5194,128,3,265.54,179.46,617.16
126,16543,201,6,438.18,131.05,2498.03
127,11903,2,1,740.38,95.14,645.24
128,28315,20,5,748.64,378.4,3364.8
129,17461,168,5,232.62,180.56,982.54
130,15746,166,3,109.65,,266.72
131,5948,26,2,598.87,65.61,1132.13
132,2585,207,2,820.28,328.32,1312.24
133,3248,3,6,941.27,422.8,5224.82
134,26287,128,3,939.31,349.99,2467.94
135,26898,174,6,361.63,400.9,1768.88
136,12311,116,3,114.81,40.97,303.46
137,29625,172,6,857.16,884.9,4258.06
138,26418,23,5,404.64,,1699.78
139,3025,135,6,79.02,56.32,417.8
140,21522,128,1,172.62,12.09,160.53
141,4119,226,1,782.97,160.9,622.07
142,21043,115,2,379.3,25.92,732.68
143,11661,12,1,618.32,39.42,578.9
144,16584,160,5,758.38,259.3,3532.6
145,28696,16,2,625.36,254.54,996.18
146,10490,1,1,299.67,44.3,255.37
147,21021,193,6,552.69,562.05,2754.09
148,25255,107,3,743.82,258.11,1973.35
149,31020,144,1,450.35,42.95,407.4
150,15675,94,5,702.49,703.17,2809.28
151,6109,20,5,303.95,272.56,1247.19
152,10550,80,1,594.83,76.6,518.23
153,13230,100,3,681.47,47.94,1996.47
154,999999,99999,-5,222.21,276.33,2749.78
155,1791,174,5,402.21,438.02,1573.03
156,10830,159,2,520.38,186.87,853.89
157,23950,222,2,662.35,165.81,1158.89
158,8590,203,2,912.07,55.71,1768.43
159,25060,37,4,411.85,153.08,1494.32
160,10910,170,6,610.49,342.82,3320.12
161,27015,54,2,865.05,8.07,1722.03
162,22498,84,3,357.53,59.04,1013.55
163,15800,8,6,875.48,233.15,5019.73
164,28720,29,2,286.8,88.7,484.9
165,2640,128,-1,733.93,83.03,2641.97
166,5086,150,6,82.36,107.78,386.38
167,9791,60,3,349.72,177.38,871.78
168,14819,193,2,202.04,96.27,307.81
169,3832,182,5,230.99,281.6,873.35
170,4707,119,6,200.33,5.19,1196.79
171,31533,123,3,287.18,136.94,724.6
172,29855,45,5,678.72,249.38,3144.22
173,16023,96,5,249.49,11.39,1236.06
174,13947,199,5,771.33,25.59,3831.06
175,17938,175,1,520.92,67.93,452.99
176,8208,174,1,326.07,59.08,266.99
177,5408,24,4,763.85,528.77,2526.63
178,11502,135,1,90.44,21.95,68.49
179,6889,234,6,241.84,327.43,1123.61
180,18523,39,3,63.29,11.9,177.97
181,619,195,4,738.55,452.25,2501.95
182,11420,208,4,949.52,499.27,3298.81
183,31960,42,4,886.83,694.24,2853.08
184,23932,29,3,772.64,62.23,2255.69
185,2394,44,6,949.49,770.15,4926.79
186,14987,200,3,121.16,0.0,363.48
187,26872,222,1,291.48,23.15,268.33
188,999999,99999,-5,95.42,26.28,1649.35
189,1479,49,4,762.96,531.07,2520.77
190,13777,233,6,644.05,498.28,3366.02
191,19771,101,4,150.08,57.05,543.27
192,9189,81,4,405.6,376.98,1245.42
193,2071,82,6,838.93,1041.55,3992.03
194,16833,141,3,764.06,255.79,2036.39
195,13263,189,6,367.77,271.24,1935.38
196,27887,30,5,623.77,107.77,3011.08
197,13140,222,3,611.89,102.2,1733.47
198,9308,31,6,590.86,196.49,3348.67
199,21529,143,3,85.47,20.45,235.96
200,22708,176,3,552.52,371.12,1286.44
201,4601,168,5,737.34,341.85,3344.85
202,31540,72,5,177.67,123.57,764.78
203,19209,16,3,310.61,191.68,740.15
204,18620,132,1,568.28,62.71,505.57
205,12785,75,-6,168.66,228.46,2358.98
206,22162,73,4,515.14,348.81,1711.75
207,18828,133,5,723.17,535.25,3080.6
208,5412,107,6,531.71,216.8,2973.46
209,4773,142,2,781.78,73.62,1489.94
210,11776,123,2,252.66,41.65,463.67
211,15901,237,2,788.99,241.86,1336.12
212,23508,5,6,219.17,59.79,1255.23
213,27794,46,1,156.63,21.05,135.58
214,21055,186,1,259.19,64.73,194.46
215,23426,192,4,690.55,135.99,2626.21
216,8486,137,6,700.38,441.06,3761.22
217,25855,83,3,497.07,174.06,1317.15
218,16363,174,1,111.72,24.9,86.82
219,29607,128,1,386.7,54.7,332.0
220,714,93,5,551.9,525.71,2233.79
221,25011,135,2,297.9,106.04,489.76
222,24054,38,4,123.56,60.05,434.19
223,16709,186,2,939.65,198.48,1680.82
224,24152,108,4,839.54,624.52,2733.64
225,18915,113,3,863.45,121.59,2468.76
226,2419,203,4,367.61,337.99,1132.45
227,2751,120,4,758.1,332.06,2700.34
228,22413,135,3,128.51,32.48,353.05
229,13045,12,2,826.02,,1596.42
230,3283,23,-6,837.61,835.21,19085.14
231,1797,208,1,466.37,,439.8
232,16428,59,6,925.46,390.12,5162.64
233,20782,97,6,823.34,226.24,4713.8
234,2386,165,2,840.2,103.2,1577.2
235,4981,219,1,326.5,74.67,251.83
236,2025,105,1,254.34,44.34,210.0
237,29149,189,5,826.24,261.85,3869.35
238,23053,69,4,205.68,149.55,673.17
239,17713,205,2,902.88,131.69,1674.07
240,9102,179,2,925.55,131.14,1719.96
241,25883,87,5,885.45,469.74,3957.51
242,17406,211,2,326.16,17.8,634.52
243,13485,178,5,429.72,448.25,1700.35
244,22964,7,5,150.36,36.59,715.21
245,28226,49,1,412.78,23.76,389.02
246,23647,85,5,428.54,409.61,1733.09
247,17545,212,1,515.22,4.23,510.99
248,19322,39,4,812.13,591.75,2656.77
249,14681,4,5,615.68,53.64,3024.76
250,15464,142,3,386.16,26.15,1132.33
251,298,29,4,415.98,396.3,1267.62
252,2515,196,4,581.47,424.49,1901.39
253,553,149,2,163.01,67.77,258.25
254,24915,141,2,736.88,163.39,1310.37
255,6528,147,5,73.19,14.93,351.02
256,31634,122,5,253.87,139.0,1130.35
257,20736,155,2,754.27,343.59,1164.95
258,25504,35,4,524.75,134.29,1964.71
259,15783,187,1,262.17,40.1,222.07
260,23486,115,3,215.52,94.83,551.73
261,8487,159,5,463.14,408.57,1907.13
262,10141,145,5,294.57,105.26,1367.59
263,18044,101,6,239.54,190.76,1246.48
264,30350,11,4,716.69,414.41,2452.35
265,9822,142,5,762.93,207.45,3607.2
266,1903,4,1,774.18,153.6,620.58
