order_id,customer_id,branch_id,order_date,order_hour,order_type,order_status,payment_method,discount_pct,total_amount_inr,completion_time_minutes
1,5866,1,2024-02-25,18,Online,Completed,Credit Card,15,2430.97,21.0
2,5024,19,2023-02-09,22,Dine-In,Pending,Cash,0,994.89,22.1
3,570,10,2024-12-22,15,Online,Completed,Wallet,0,2850.44,58.8
4,4218,2,2023-01-30,18,Takeaway,Completed,Cash,0,5909.43,40.7
5,4585,25,2024-08-03,22,Dine-In,Completed,UPI,20,2097.71,19.0
6,3167,13,2023-10-21,17,Dine-In,Completed,Credit Card,15,4615.45,32.2
7,3400,20,2023-11-11,19,Online,Completed,Cash,0,2878.3,61.9
8,4504,4,2024-03-04,22,Dine-In,In Progress,Cash,0,3328.98,67.8
9,2350,7,2023-07-25,22,Dine-In,Completed,Wallet,0,3598.5,24.5
10,2088,19,2023-02-04,22,Takeaway,Completed,Credit Card,10,4019.4,16.3
11,314,3,2024-05-11,16,Online,Completed,Credit Card,20,545.94,27.9
12,3840,21,2024-03-03,21,Dine-In,In Progress,Debit Card,10,2872.44,39.1
13,2945,15,2024-09-01,20,Online,Completed,Cash,0,691.27,24.9
14,5747,22,2023-07-10,13,Takeaway,Completed,Cash,0,4362.72,45.6
15,5027,17,2023-11-13,21,Online,Pending,UPI,20,950.16,41.6
16,1136,20,2024-03-10,18,Dine-In,Completed,Cash,20,832.66,31.4
17,6200,17,2023-11-25,13,Dine-In,Completed,Debit Card,0,5467.49,29.7
18,674,25,2023-01-04,13,Takeaway,Completed,Wallet,15,3666.81,55.4
19,4483,19,2023-10-05,16,Dine-In,Cancelled,Credit Card,5,1456.76,52.7
20,2223,3,2023-05-08,20,Takeaway,Cancelled,Wallet,20,1499.86,29.5
21,2744,7,2024-10-24,18,Takeaway,Cancelled,Wallet,0,1094.83,71.3
22,4697,26,2024-01-15,21,Takeaway,Completed,Debit Card,0,900.6,63.4
23,853,12,2023-10-14,22,Dine-In,Completed,Cash,5,4920.68,43.2
24,3796,28,2023-03-01,22,Takeaway,Completed,UPI,0,320.36,44.0
25,6641,20,2024-03-21,17,Dine-In,Completed,UPI,0,2313.02,11.0
26,1620,10,2024-09-03,13,Online,Completed,Wallet,20,1592.45,73.2
27,5172,6,2024-05-15,21,Online,Completed,Cash,10,854.84,62.6
28,845,6,2024-10-20,19,Takeaway,Completed,Debit Card,0,4048.19,40.7
29,4396,28,2024-08-28,19,Takeaway,Completed,Credit Card,15,248.27,48.3
30,99999,999,2024-01-01,18,Takeaway,Completed,UPI,0,-4283.6,375.9
31,4138,4,2023-05-01,14,Dine-In,Completed,Debit Card,10,4746.55,51.2
32,4209,9,2024-08-01,20,Online,Cancelled,Debit Card,0,2220.17,64.9
33,1559,11,2024-12-09,18,Takeaway,Completed,UPI,5,3657.79,55.1
34,4987,26,2024-09-03,19,Online,Completed,Wallet,0,3221.82,46.3
35,204,15,2024-10-01,23,Takeaway,Completed,Cash,5,2333.44,13.2
36,167,1,2024-01-25,10,Online,Completed,UPI,15,2728.71,18.9
37,3116,23,2024-03-24,20,Online,Completed,Wallet,15,2081.5,13.3
38,3941,13,2023-11-27,22,Dine-In,Pending,Credit Card,5,1494.04,43.5
39,423,2,2023-02-21,19,Dine-In,Completed,Credit Card,0,3110.33,38.3
40,91,17,2024-02-13,15,Takeaway,Completed,Credit Card,0,318.89,62.6
41,2547,11,2024-06-18,21,Online,Cancelled,Debit Card,0,1850.54,58.8
42,1423,12,2023-04-06,12,Online,Completed,Cash,15,4462.4,53.3
43,4556,14,2023-09-03,16,Dine-In,Cancelled,Credit Card,0,4158.95,15.4
44,4886,6,2024-01-24,15,Online,Completed,Cash,20,623.88,57.7
45,198,20,2023-10-15,21,Dine-In,Completed,Debit Card,20,231.05,58.3
46,420,20,2024-09-24,21,Takeaway,Completed,UPI,15,4181.75,57.5
47,2647,1,2024-06-06,17,Dine-In,Completed,UPI,20,4306.79,16.0
48,600,27,2023-02-01,15,Online,Completed,Wallet,0,822.75,25.7
49,2354,6,2023-10-19,18,Online,Completed,Credit Card,0,4257.57,29.8
50,490,27,2024-11-23,12,Online,Completed,Debit Card,15,5461.48,27.3
51,6696,20,2024-11-14,21,Online,Cancelled,Credit Card,0,3198.57,36.8
52,365,5,2023-02-01,12,Online,Completed,Credit Card,15,,28.4
53,2289,5,2024-07-31,18,Online,Cancelled,Debit Card,0,1225.13,51.6
54,6524,7,2024-11-15,21,Takeaway,In Progress,Wallet,0,2770.01,49.6
55,2364,18,2024-05-15,20,Dine-In,Completed,Wallet,0,4491.74,54.3
56,4444,5,2024-12-17,9,Online,Completed,UPI,0,1695.04,26.4
57,5910,6,2023-10-12,21,Online,Completed,Cash,5,3545.51,39.2
58,6998,19,2024-01-17,19,Dine-In,Completed,Wallet,0,3427.53,73.3
59,3996,28,2023-05-11,20,Online,Completed,Credit Card,20,3961.77,25.5
60,548,17,2023-08-13,18,Dine-In,Completed,UPI,10,3982.52,64.0
61,658,28,2024-11-07,22,Online,Completed,Credit Card,0,917.02,51.6
62,3805,16,2024-02-01,21,Takeaway,Completed,Cash,10,1353.21,30.9
63,720,15,2024-04-08,14,Dine-In,Completed,UPI,0,3147.54,19.1
64,6731,28,2023-07-13,21,Online,Cancelled,Cash,15,3373.93,23.5
65,935,14,2023-12-30,15,Online,Completed,Cash,5,433.5,27.2
66,1649,20,2023-02-15,9,Online,In Progress,UPI,15,4127.06,64.2
67,2346,10,2023-08-22,18,Dine-In,Completed,UPI,5,1691.0,35.4
68,534,21,2023-02-12,15,Takeaway,Completed,Credit Card,15,2576.85,51.2
69,833,22,2023-05-09,19,Takeaway,Completed,UPI,0,2363.95,65.3
70,2576,17,2023-08-09,19,Takeaway,Completed,Debit Card,5,2567.22,46.2
71,3162,2,2024-09-20,20,Takeaway,Completed,Wallet,0,5220.84,14.1
72,5640,15,2023-09-29,21,Takeaway,In Progress,Debit Card,15,2951.55,66.4
73,4087,20,2024-03-30,19,Online,Completed,Cash,0,733.37,39.0
74,4480,19,2023-12-21,12,Dine-In,Completed,Credit Card,0,3386.86,33.1
75,381,11,2023-12-02,17,Takeaway,Completed,UPI,0,970.56,30.8
76,2171,8,2023-08-30,21,Takeaway,Completed,Credit Card,0,3554.52,36.4
77,6499,13,2023-12-10,20,Takeaway,In Progress,Credit Card,0,2217.31,42.4
78,3721,16,2024-11-21,19,Online,Completed,Credit Card,10,3191.04,26.3
79,536,28,2024-12-22,19,Dine-In,Completed,Wallet,10,2511.94,45.3
80,6101,24,2023-09-10,23,Dine-In,Completed,Debit Card,5,5198.61,46.7
81,4599,3,2023-04-30,21,Online,Completed,Credit Card,0,4124.0,18.8
82,3070,4,2024-04-25,14,Takeaway,Completed,Debit Card,0,303.15,9.9
83,6042,15,2023-02-28,23,Dine-In,Pending,UPI,15,,19.6
84,1853,25,2024-05-17,17,Dine-In,Completed,Cash,0,,52.6
85,764,24,2023-06-11,13,Takeaway,Completed,Credit Card,20,4000.6,36.4
86,2108,25,2023-05-30,18,Dine-In,Completed,UPI,0,4622.36,29.6
87,2234,3,2024-10-02,12,Dine-In,Completed,Wallet,0,3831.7,70.3
88,1032,7,2023-10-28,15,Takeaway,Completed,Wallet,0,180.87,32.4
89,888,3,2024-10-17,14,Online,Completed,Cash,20,,47.4
